time_index,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi
93,10.661348,1.2073479,,,
94,10.674478,1.211307,,,
95,10.686901,1.2061726,,,
96,10.698538,1.2063445,,,
97,10.708748,1.2019721,,,
98,10.718527,1.2013489,,,
99,10.728659,1.2036005,,,
100,10.739054,1.1983874,,,
101,10.749524,1.1989292,,,
102,10.760336,1.1972376,,,
103,10.770192,1.1943026,,,
104,10.780264,1.1947254,,,
105,10.79024,1.1943439,,,
106,10.799794,1.1956831,,,
107,10.809725,1.1938517,,,
108,10.8188095,1.1912237,,,
109,10.827413,1.1918373,,,
110,10.83514,1.1878924,,,
111,10.842963,1.1873811,,,
112,10.850862,1.1865512,,,
113,10.859035,1.1890908,,,
114,10.867859,1.1880592,,,
115,10.877151,1.1875829,,,
116,10.886332,1.1867087,,,
117,10.894923,1.1864456,,,
118,10.902429,1.1872982,,,
119,10.90988,1.186989,,,
120,10.917664,1.1851082,,,
121,10.925657,1.1840906,,,
122,10.933353,1.1832538,,,
123,10.939872,1.1844727,,,
124,10.945942,1.1826575,,,
125,10.952668,1.1817038,,,
126,10.959065,1.1812813,,,
127,10.964495,1.1778376,,,
128,10.969188,1.1767954,,,
129,10.974015,1.1770288,,,
130,10.978435,1.1754092,,,
131,10.983259,1.175875,,,
132,10.988085,1.1763484,,,
133,10.992119,1.1762425,,,
134,10.996248,1.1771073,,,
135,11.000225,1.1787293,,,
136,11.003551,1.1764491,,,
137,11.007271,1.1775298,,,
138,11.010832,1.1746777,,,
139,11.01529,1.1767006,,,
140,11.020289,1.1790048,,,
141,11.024192,1.17647,,,
142,11.028951,1.173897,,,
143,11.034072,1.1772501,,,
144,11.039701,1.1757786,,,
145,11.04525,1.1749408,,,
146,11.050631,1.1753383,,,
147,11.055743,1.1763778,,,
148,11.060785,1.1752517,,,
149,11.064879,1.1742789,,,
150,11.067859,1.1734195,,,
151,11.0700865,1.1722176,,,
152,11.072008,1.1716806,,,
153,11.074204,1.1729355,,,
154,11.07752,1.1737278,,,
155,11.081902,1.175106,,,
156,11.085912,1.1735489,,,
157,11.089281,1.1715564,,,
158,11.09137,1.1686846,,,
159,11.093584,1.170094,,,
160,11.0965605,1.1710386,,,
161,11.100965,1.1747829,,,
162,11.105369,1.1742779,,,
163,11.109651,1.1741365,,,
164,11.114423,1.1715884,,,
165,11.118538,1.1749638,,,
166,11.122799,1.1759119,,,
167,11.126939,1.1770998,,,
168,11.130644,1.1729099,,,
169,11.1334095,1.1716207,,,
170,11.135244,1.1715512,,,
171,11.136685,1.1739925,,,
172,11.138682,1.1726559,,,
173,11.141245,1.1740999,,,
174,11.144486,1.1716579,,,
175,11.147505,1.1715606,,,
176,11.149897,1.170272,,,
177,11.151898,1.1707646,,,
178,11.153276,1.1719595,,,
179,11.154463,1.1705598,,,
180,11.155955,1.171598,,,
181,11.158159,1.1697463,,,
182,11.160029,1.1680661,,,
183,11.162057,1.16808,,,
184,11.163573,1.168634,,,
185,11.164774,1.1683601,,,
186,11.166501,1.1684518,,,
187,11.168932,1.171216,,,
188,11.171959,1.171961,,,
189,11.175483,1.1696641,,,
190,11.178711,1.1698834,,,
191,11.180907,1.1719528,,,
192,11.182671,1.1698357,,,
193,11.184201,1.1715848,,,
194,11.186074,1.1721263,,,
195,11.188403,1.172123,,,
196,11.189952,1.1702046,,,
197,11.19143,1.1695689,,,
198,11.193154,1.1684837,,,
199,11.194411,1.1682465,,,
200,11.195942,1.169318,,,
201,11.197719,1.1721838,,,
202,11.199159,1.1702791,,,
203,11.200815,1.1699675,,,
204,11.202793,1.1701794,,,
205,11.205092,1.1700624,,,
206,11.20678,1.1708456,,,
207,11.208794,1.1682856,,,
208,11.210639,1.1670768,,,
209,11.212632,1.1679968,,,
210,11.214271,1.1683254,,,
211,11.216101,1.1716528,,,
212,11.217389,1.1707329,,,
213,11.219019,1.1688256,,,
214,11.220658,1.1703237,,,
215,11.221364,1.1706055,,,
216,11.221619,1.1710095,,,
217,11.222185,1.1711059,,,
218,11.2226,1.1717168,,,
219,11.223186,1.1701713,,,
220,11.224504,1.1724688,,,
221,11.226647,1.1721143,,,
222,11.228004,1.1710993,,,
223,11.228294,1.1685934,,,
224,11.228524,1.1669362,,,
225,11.228531,1.1688919,,,
226,11.229008,1.1689765,,,
227,11.2297325,1.1692724,,,
228,11.230609,1.1688572,,,
229,11.232074,1.1702665,,,
230,11.233547,1.1687077,,,
231,11.233935,1.1679033,,,
232,11.23418,1.1681664,,,
233,11.234862,1.1705382,,,
234,11.236344,1.1720189,,,
235,11.238329,1.1737914,,,
236,11.240058,1.1740226,,,
237,11.240749,1.1727618,,,
238,11.24037,1.1712915,,,
239,11.2397785,1.1690359,,,
240,11.23922,1.1666614,,,
241,11.239084,1.1688118,,,
242,11.239858,1.1686623,,,
243,11.240218,1.1687182,,,
244,11.239991,1.1713581,,,
245,11.240053,1.1721543,,,
246,11.24057,1.168778,,,
247,11.240619,1.1676705,,,
248,11.240586,1.1695992,,,
249,11.240758,1.1710166,,,
250,11.239846,1.1730254,,,
251,11.238591,1.1689683,,,
252,11.237491,1.1718019,,,
253,11.237306,1.1718148,,,
254,11.239036,1.1705937,,,
255,11.241487,1.1725781,,,
256,11.244613,1.1753187,,,
257,11.247756,1.1760043,,,
258,11.250347,1.1727614,,,
259,11.25226,1.1720834,,,
260,11.253657,1.1706687,,,
261,11.254595,1.169745,,,
262,11.255248,1.1696907,,,
263,11.255468,1.1683382,,,
264,11.25617,1.168333,,,
265,11.258082,1.1682127,,,
266,11.259473,1.1684916,,,
267,11.259813,1.1682508,,,
268,11.260251,1.1687025,,,
269,11.261167,1.1678282,,,
270,11.26219,1.1689181,,,
271,11.263074,1.1682107,,,
272,11.264424,1.1701272,,,
273,11.266345,1.1708665,,,
274,11.267711,1.1680778,,,
275,11.269741,1.1673261,,,
276,11.271639,1.1666032,,,
277,11.273446,1.16806,,,
278,11.275172,1.1670824,,,
279,11.276673,1.1681113,,,
280,11.278248,1.1664407,,,
281,11.27959,1.1673558,,,
282,11.280631,1.1683408,,,
283,11.281411,1.1669718,,,
284,11.283041,1.1661295,,,
285,11.284011,1.1639545,,,
286,11.284159,1.1646365,,,
287,11.284762,1.1653785,,,
288,11.284732,1.1643357,,,
289,11.284982,1.167259,,,
290,11.285153,1.1641678,,,
291,11.28535,1.1639078,,,
292,11.2857485,1.1650769,,,
293,11.286153,1.165006,,,
294,11.28599,1.1688112,,,
295,11.286437,1.165965,,,
296,11.286543,1.169284,,,
297,11.286021,1.165759,,,
298,11.285293,1.1662923,,,
299,11.285153,1.1646149,,,
300,11.28596,1.1670603,,,
301,11.286849,1.1673529,,,
302,11.287534,1.1664346,,,
303,11.2879925,1.1647067,,,
304,11.289391,1.165734,,,
305,11.291073,1.164552,,,
306,11.292064,1.1620378,,,
307,11.29241,1.1624777,,,
308,11.29231,1.1637924,,,
309,11.292076,1.1628354,,,
310,11.292301,1.1641402,,,
311,11.292762,1.1643924,,,
312,11.292819,1.1640499,,,
313,11.292702,1.1619152,,,
314,11.293109,1.1614858,,,
315,11.292731,1.1597247,,,
316,11.2915325,1.1602967,,,
317,11.290821,1.1601455,,,
318,11.290972,1.1602297,,,
319,11.292557,1.1610738,,,
320,11.294165,1.1604841,,,
321,11.296087,1.1627355,,,
322,11.297581,1.1619489,,,
323,11.299171,1.1613983,,,
324,11.300723,1.1668116,,,
325,11.30254,1.167947,,,
326,11.30378,1.163878,,,
327,11.304079,1.1631414,,,
328,11.304825,1.1635425,,,
329,11.305647,1.1618972,,,
330,11.306178,1.1629883,,,
331,11.306494,1.1638225,,,
332,11.3057575,1.1613163,,,
333,11.305091,1.1617587,,,
334,11.304617,1.161232,,,
335,11.304174,1.1630129,,,
336,11.304286,1.1636832,,,
337,11.304272,1.1647573,,,
338,11.304327,1.1619947,,,
339,11.3051405,1.1616781,,,
340,11.30617,1.1637553,,,
341,11.307562,1.163483,,,
342,11.308396,1.1625369,,,
343,11.308685,1.1642265,,,
344,11.309479,1.1636853,,,
345,11.310397,1.1646652,,,
346,11.311412,1.1642263,,,
347,11.312753,1.1668271,,,
348,11.313137,1.1635908,,,
349,11.3139,1.1639637,,,
350,11.315249,1.1636168,,,
351,11.316725,1.163214,,,
352,11.318544,1.1618744,,,
353,11.318918,1.1623764,,,
354,11.319788,1.1618986,,,
355,11.320089,1.161925,,,
356,11.320375,1.1638374,,,
357,11.320596,1.1602085,,,
358,11.320129,1.1602709,,,
359,11.320334,1.1616025,,,
360,11.3204,1.1606635,,,
361,11.319923,1.1574783,,,
362,11.31895,1.1598748,,,
363,11.317931,1.1621228,,,
364,11.317026,1.161686,,,
365,11.315735,1.1604295,,,
366,11.31461,1.1572742,,,
367,11.313203,1.1564432,,,
368,11.311694,1.1570309,,,
369,11.309752,1.1592298,,,
370,11.307179,1.1583712,,,
371,11.304277,1.1592544,,,
372,11.302679,1.1580614,,,
373,11.3016405,1.1576946,,,
374,11.300721,1.1572058,,,
375,11.299969,1.1568534,,,
376,11.299622,1.1554196,,,
377,11.299166,1.1557482,,,
378,11.298939,1.1566625,,,
379,11.298563,1.158011,,,
380,11.297935,1.1567103,,,
381,11.297373,1.1556963,,,
382,11.296138,1.1567177,,,
383,11.294837,1.156362,,,
384,11.293933,1.1596817,,,
385,11.292705,1.1574186,,,
386,11.291776,1.1585561,,,
387,11.290671,1.1575143,,,
388,11.289506,1.1567984,,,
389,11.288302,1.1580356,,,
390,11.286973,1.1585456,,,
391,11.2866955,1.1609466,,,
392,11.287319,1.1607648,,,
393,11.287557,1.1602094,,,
394,11.28668,1.1589047,,,
395,11.2855835,1.1612185,,,
396,11.283777,1.1606978,,,
397,11.281754,1.1627665,,,
398,11.280761,1.1631012,,,
399,11.280665,1.1613582,,,
400,11.28087,1.1621121,,,
401,11.280862,1.162906,,,
402,11.280468,1.1604257,,,
403,11.279029,1.1588529,,,
404,11.277725,1.1580762,,,
405,11.27687,1.1591753,,,
406,11.276131,1.1592956,,,
407,11.275658,1.1607468,,,
408,11.275105,1.1603843,,,
409,11.274718,1.1609986,,,
410,11.274248,1.1587391,,,
411,11.273427,1.1600648,,,
412,11.272439,1.1585903,,,
413,11.27143,1.1585227,,,
414,11.270514,1.156972,,,
415,11.269001,1.1576427,,,
416,11.267681,1.159204,,,
417,11.266706,1.1584455,,,
418,11.265494,1.1564462,,,
419,11.264211,1.1567419,,,
420,11.263053,1.1566312,,,
421,11.26213,1.1554202,,,
422,11.26145,1.1569754,,,
423,11.260428,1.1574551,,,
424,11.259179,1.160969,,,
425,11.258963,1.1605352,,,
426,11.259065,1.1584363,,,
427,11.259032,1.1573186,,,
428,11.258206,1.1575931,,,
429,11.257577,1.1581327,,,
430,11.2573,1.1608394,,,
431,11.257793,1.1618471,,,
432,11.258337,1.1614568,,,
433,11.25891,1.1579137,,,
434,11.259289,1.1597706,,,
435,11.2590065,1.1607046,,,
436,11.258387,1.1594965,,,
437,11.258032,1.1590264,,,
438,11.257629,1.1597568,,,
439,11.256895,1.1599824,,,
440,11.256925,1.159239,,,
441,11.256386,1.1598821,,,
442,11.256109,1.1610534,,,
443,11.256126,1.1594863,,,
444,11.255336,1.1586725,,,
445,11.254554,1.1586394,,,
446,11.253989,1.1583815,,,
447,11.253152,1.159176,,,
448,11.252779,1.1592224,,,
449,11.253132,1.1580509,,,
450,11.253041,1.157156,,,
451,11.253417,1.1609213,,,
452,11.25439,1.161329,,,
453,11.25448,1.1578594,,,
454,11.253955,1.1592399,,,
455,11.252972,1.1575925,,,
456,11.251214,1.1549177,,,
457,11.249707,1.1539398,,,
458,11.248051,1.1543229,,,
459,11.24616,1.153463,,,
460,11.243398,1.1538718,,,
461,11.240212,1.152373,,,
462,11.236637,1.1529576,,,
463,11.233347,1.153521,,,
464,11.229935,1.1521189,,,
465,11.227025,1.1524866,,,
466,11.225722,1.151225,,,
467,11.225187,1.1501867,,,
468,11.224263,1.1515558,,,
469,11.22356,1.1513981,,,
470,11.2232685,1.1515831,,,
471,11.22283,1.1513168,,,
472,11.222447,1.1503084,,,
473,11.221165,1.1498094,,,
474,11.218987,1.149862,,,
475,11.21664,1.1504579,,,
476,11.214237,1.154131,,,
477,11.212399,1.1550025,,,
478,11.21139,1.1545063,,,
479,11.210732,1.152921,,,
480,11.21005,1.1545407,,,
481,11.20955,1.1525867,,,
482,11.2093935,1.152509,,,
483,11.208734,1.1529449,,,
484,11.207921,1.152581,,,
485,11.20669,1.152423,,,
486,11.205109,1.1538422,,,
487,11.202899,1.155608,,,
488,11.200757,1.1546363,,,
489,11.199375,1.1553042,,,
490,11.199068,1.1562256,,,
491,11.199155,1.154854,,,
492,11.199436,1.1543949,,,
493,11.200254,1.1570486,,,
494,11.200298,1.1552736,,,
495,11.199908,1.1563005,,,
496,11.199296,1.1562499,,,
497,11.198894,1.1590621,,,
498,11.198649,1.1576256,,,
499,11.1981125,1.1568354,,,
