epoch,loudness_zwtv,sharpness_din_tv,roughness_dw,tnr_ecma_perseg,sii_ansi,total,val_loudness_zwtv,val_sharpness_din_tv,val_roughness_dw,val_tnr_ecma_perseg,val_sii_ansi,val_total
1,31.5195369720459,0.3542724847793579,0.09222111850976944,61.85426330566406,0.02240898460149765,3.2267677783966064,15.075102806091309,0.29293540120124817,0.08519037812948227,61.99007797241211,0.018414219841361046,2.7826039791107178
2,12.042597770690918,0.2861543595790863,0.08567988872528076,60.69411087036133,0.01674666441977024,2.6906440258026123,10.33495044708252,0.29132339358329773,0.08330380171537399,60.26787185668945,0.01708579994738102,2.6471636295318604
3,10.487614631652832,0.27575045824050903,0.08447586745023727,58.55905532836914,0.015360099263489246,2.587031602859497,9.512014389038086,0.27100440859794617,0.08335890620946884,58.066001892089844,0.01427779346704483,2.5306808948516846
4,10.064319610595703,0.2711951434612274,0.0843459889292717,56.36179733276367,0.014925874769687653,2.532146692276001,9.20009994506836,0.28105467557907104,0.07998033612966537,55.957942962646484,0.01350618526339531,2.4584598541259766
5,9.756032943725586,0.2683292627334595,0.08371642976999283,54.626956939697266,0.014621228910982609,2.485100746154785,9.154247283935547,0.263703316450119,0.08305419236421585,54.64773178100586,0.013491712510585785,2.4463367462158203
6,9.602313041687012,0.26584452390670776,0.08396538347005844,53.62330627441406,0.014447768218815327,2.4637181758880615,8.935918807983398,0.2677982449531555,0.07939952611923218,53.385948181152344,0.01631288230419159,2.433342695236206
7,9.376981735229492,0.26287925243377686,0.08306106925010681,52.85454177856445,0.01404434721916914,2.4285078048706055,8.58798885345459,0.27087169885635376,0.0793595016002655,52.940345764160156,0.012673793360590935,2.368961811065674
8,9.20963191986084,0.2609347999095917,0.0831068754196167,52.39300537109375,0.013593938201665878,2.409795045852661,8.455455780029297,0.2543671429157257,0.08103914558887482,52.33672332763672,0.013741554692387581,2.3697738647460938
9,9.172930717468262,0.25975510478019714,0.0828436017036438,51.96570587158203,0.013578910380601883,2.397874593734741,8.605644226074219,0.2559283971786499,0.07961031794548035,51.892723083496094,0.012950682081282139,2.339383125305176
10,9.038463592529297,0.2583933472633362,0.08260149508714676,51.583824157714844,0.013434957712888718,2.3833162784576416,8.551165580749512,0.25607508420944214,0.07888015359640121,51.98136520385742,0.01181385014206171,2.3148367404937744
