time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0030265935,1.0089285,,,0.11833866,0.049319386,0.0,5.8958526,0.0,0.08824393
1,1.1565984,1.6141906,,,0.39195448,0.048627466,0.0,4.035719,,
2,3.1772687,2.836979,,,0.30346584,0.06009981,,,,
3,5.269784,3.9292681,,,0.46943277,0.040526368,,,,
4,7.3676376,4.7620378,,,0.3258677,0.03631579,,,,
5,8.720741,5.3883896,4.430905,3.08178,0.31858948,0.054545753,,,,
6,9.542758,5.8682795,4.156798,2.787368,0.43099964,0.04894709,,,,
7,10.736706,6.247159,4.0709405,2.5950418,0.14308879,0.038148202,,,,
8,11.923053,6.557202,3.8425062,2.4659784,0.17486621,0.035764694,,,,
9,13.247493,6.8215456,3.9134867,2.36967,,,,,,
10,15.016588,7.053578,3.7923875,2.2881777,,,,,,
11,15.980725,7.261328,3.027786,2.2228534,,,,,,
12,16.078989,7.451104,2.6664212,2.1700625,,,,,,
13,15.978105,7.626701,2.8189692,2.1204271,,,,,,
14,15.746916,7.790736,2.72034,2.0751789,,,,,,
15,15.8655615,7.9447203,2.7374732,2.0347397,,,,,,
16,16.181978,8.089295,2.814664,2.000485,,,,,,
17,17.027243,8.225405,3.0382113,1.9673076,,,,,,
18,18.320944,8.354464,2.9423625,1.9367414,,,,,,
19,18.868494,8.476419,2.4130313,1.9080267,,,,,,
20,18.774841,8.591822,2.9028456,1.8801267,,,,,,
21,19.627565,8.701213,3.025798,1.8615271,,,,,,
22,20.016071,8.806249,2.7608259,1.8385602,,,,,,
23,20.228792,8.907323,2.4197674,1.8140848,,,,,,
24,20.033092,9.004241,2.157305,1.7956948,,,,,,
25,19.498217,9.098333,2.077295,1.778384,,,,,,
26,19.04807,9.189906,2.1224244,1.761162,,,,,,
27,18.477432,9.279662,2.0518692,1.747766,,,,,,
28,18.425713,9.366967,2.2551236,1.7343345,,,,,,
29,18.279701,9.452027,1.9369949,1.7196298,,,,,,
30,18.042273,9.534992,1.9708959,1.7046906,,,,,,
31,18.1526,9.615812,1.8986386,1.6878543,,,,,,
32,18.015984,9.693046,2.0272279,1.6749761,,,,,,
33,18.136166,9.768278,2.2102442,1.6608688,,,,,,
34,18.381392,9.842653,2.2950373,1.6509329,,,,,,
35,18.59354,9.916075,2.1954787,1.6386217,,,,,,
36,18.978598,9.987761,2.071604,1.6280015,,,,,,
37,19.52318,10.056675,2.2357519,1.6147316,,,,,,
38,20.453014,10.123142,2.291469,1.6023555,,,,,,
39,20.814226,10.186327,1.9092311,1.5907501,,,,,,
40,20.452393,10.247713,1.7890903,1.5843655,,,,,,
41,20.04723,10.309035,1.8883321,1.5747201,,,,,,
42,20.092808,10.369822,2.0664387,1.5665083,,,,,,
43,20.322104,10.429964,2.110162,1.5598269,,,,,,
44,20.237238,10.489017,1.8247017,1.5516753,,,,,,
45,20.26463,10.546299,2.0302505,1.5453894,,,,,,
46,20.55447,10.602724,2.0662937,1.5410182,,,,,,
47,20.870523,10.657686,2.0203898,1.5342842,,,,,,
48,20.958155,10.711361,1.9709862,1.52736,,,,,,
49,21.183685,10.764137,2.0449471,1.5222576,,,,,,
50,21.043577,10.816782,1.8402194,1.5173916,,,,,,
51,20.645262,10.869009,1.8656654,1.516979,,,,,,
52,19.983759,10.920464,1.6911098,1.5104443,,,,,,
53,19.674246,10.9705305,1.8006096,1.5053167,,,,,,
54,19.547709,11.019497,1.8623215,1.5004245,,,,,,
55,19.388556,11.067332,1.7866176,1.4921931,,,,,,
56,19.693193,11.114575,2.0702014,1.4876213,,,,,,
57,20.658657,11.1609955,2.1097772,1.4840602,,,,,,
58,20.990818,11.205854,1.9452292,1.4767811,,,,,,
59,20.926228,11.248816,1.7659264,1.4705179,,,,,,
60,20.836287,11.29063,2.0067391,1.4687431,,,,,,
61,20.951323,11.332181,1.9389515,1.4636557,,,,,,
62,20.69772,11.372597,1.7516279,1.4584386,,,,,,
63,20.281271,11.41152,1.6399976,1.4535742,,,,,,
64,19.942928,11.449127,1.6268243,1.4518026,,,,,,
65,19.97918,11.485657,2.0372427,1.450423,,,,,,
66,20.219324,11.520549,2.115689,1.4470797,,,,,,
67,20.525448,11.55356,1.8990371,1.439589,,,,,,
68,20.323435,11.584061,1.6507585,1.4370346,,,,,,
69,20.170238,11.613783,1.8509573,1.4321609,,,,,,
70,20.465607,11.643256,1.9421654,1.4296765,,,,,,
71,20.47409,11.6717205,1.8207222,1.4294779,,,,,,
72,20.127525,11.699928,1.75632,1.426927,,,,,,
73,19.71558,11.727804,1.6945176,1.423958,,,,,,
