time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0030265935,4.0904346,,,0.11833866,0.103946,0.0,5.342482,0.0,0.074638516
1,1.1565984,6.4036474,,,0.39195448,0.098564446,0.0,3.2602406,,
2,3.1772687,11.218369,,,0.30346584,0.1307146,,,,
3,5.269784,11.960659,,,0.46943277,0.14311215,,,,
4,7.3676376,10.992183,,,0.3258677,0.13084753,,,,
5,8.720741,14.393005,4.430905,3.9408984,0.31858948,0.14320034,,,,
6,9.542758,15.978714,4.156798,3.273165,0.43099964,0.10675378,,,,
7,10.736706,19.222569,4.0709405,3.3113608,0.14308879,0.1022799,,,,
8,11.923053,18.587452,3.8425062,3.2749777,0.17486621,0.06058695,,,,
9,13.247493,17.19917,3.9134867,3.0273135,,,,,,
10,15.016588,13.626028,3.7923875,2.8113856,,,,,,
11,15.980725,15.743222,3.027786,2.8376126,,,,,,
12,16.078989,16.671576,2.6664212,2.755823,,,,,,
13,15.978105,16.925394,2.8189692,2.7771497,,,,,,
14,15.746916,17.215261,2.72034,2.843516,,,,,,
15,15.8655615,23.724443,2.7374732,2.5200932,,,,,,
16,16.181978,17.229385,2.814664,2.8287954,,,,,,
17,17.027243,16.802162,3.0382113,2.688913,,,,,,
18,18.320944,15.207954,2.9423625,2.4141154,,,,,,
19,18.868494,20.853222,2.4130313,3.015971,,,,,,
20,18.774841,21.403864,2.9028456,2.745459,,,,,,
21,19.627565,19.14678,3.025798,2.6081152,,,,,,
22,20.016071,16.877993,2.7608259,2.5223098,,,,,,
23,20.228792,16.67075,2.4197674,2.5028481,,,,,,
24,20.033092,17.308292,2.157305,2.4459105,,,,,,
25,19.498217,14.7705765,2.077295,2.3918257,,,,,,
26,19.04807,19.517498,2.1224244,2.467009,,,,,,
27,18.477432,14.779545,2.0518692,2.45083,,,,,,
28,18.425713,13.660929,2.2551236,2.439339,,,,,,
