file,input_samples,input_duration_s,inference_time_ms,backbone_frames,parameter,output_frames,pred_min,pred_max,pred_mean
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.01,3000,loudness_zwtv,500,4.090435,33.705559,19.76651
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.01,3000,sharpness_din_tv,495,1.423121,3.940898,2.118031
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.01,3000,roughness_dw,9,0.060587,0.1432,0.113334
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.01,3000,tnr_ecma_perseg,2,3.260241,5.342482,4.301361
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.01,3000,sii_ansi,1,0.074639,0.074639,0.074639
