file,input_samples,input_duration_s,inference_time_ms,backbone_frames,parameter,output_frames,pred_min,pred_max,pred_mean
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.23,3000,loudness_zwtv,500,4.169142,31.652174,19.809622
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.23,3000,sharpness_din_tv,495,1.441909,3.884513,2.095796
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.23,3000,roughness_dw,9,0.07869,0.128708,0.107445
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.23,3000,tnr_ecma_perseg,2,3.307935,5.305638,4.306787
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,1.23,3000,sii_ansi,1,0.143924,0.143924,0.143924
