time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
0,0.0030265935,4.1691422,,,0.11833866,0.093075514,0.0,5.3056383,0.0,0.14392444
1,1.1565984,6.658502,,,0.39195448,0.09553218,0.0,3.3079355,,
2,3.1772687,11.747209,,,0.30346584,0.12870824,,,,
3,5.269784,11.862373,,,0.46943277,0.11551769,,,,
4,7.3676376,11.042754,,,0.3258677,0.11882726,,,,
5,8.720741,14.261584,4.430905,3.884513,0.31858948,0.12061019,,,,
6,9.542758,16.09424,4.156798,3.2000182,0.43099964,0.10344066,,,,
7,10.736706,19.495192,4.0709405,3.390265,0.14308879,0.112603456,,,,
8,11.923053,18.723507,3.8425062,3.1729312,0.17486621,0.07868995,,,,
9,13.247493,17.090702,3.9134867,3.103035,,,,,,
10,15.016588,13.543643,3.7923875,2.8931227,,,,,,
11,15.980725,16.44915,3.027786,2.7877662,,,,,,
12,16.078989,16.969276,2.6664212,2.6663592,,,,,,
13,15.978105,16.790142,2.8189692,2.8304443,,,,,,
14,15.746916,17.579596,2.72034,2.79932,,,,,,
15,15.8655615,23.021156,2.7374732,2.3977232,,,,,,
16,16.181978,16.9077,2.814664,2.7482564,,,,,,
17,17.027243,17.270927,3.0382113,2.7149763,,,,,,
18,18.320944,15.687481,2.9423625,2.3579566,,,,,,
19,18.868494,20.228815,2.4130313,3.066465,,,,,,
20,18.774841,21.568785,2.9028456,2.6998792,,,,,,
21,19.627565,18.783024,3.025798,2.5690823,,,,,,
22,20.016071,17.40392,2.7608259,2.4686313,,,,,,
23,20.228792,16.438705,2.4197674,2.4836223,,,,,,
24,20.033092,17.82644,2.157305,2.3979447,,,,,,
25,19.498217,14.4603615,2.077295,2.3782825,,,,,,
26,19.04807,19.247246,2.1224244,2.4154508,,,,,,
27,18.477432,14.285291,2.0518692,2.4434872,,,,,,
28,18.425713,14.212189,2.2551236,2.3406293,,,,,,
29,18.279701,14.636396,1.9369949,2.3114924,,,,,,
