file,input_samples,input_duration_s,inference_time_avg_ms,inference_time_median_ms,inference_time_min_ms,inference_time_min_idx,inference_time_max_ms,inference_time_max_idx,inference_time_std_ms,inference_time_n,backbone_frames,parameter,output_frames,pred_min,pred_max,pred_mean
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,2.833,2.805,0.631,3,751.23,728,7.496,10000,1420,loudness_zwtv,500,0.101397,11.420694,10.817313
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,2.833,2.805,0.631,3,751.23,728,7.496,10000,1420,sharpness_din_tv,495,1.214911,2.980538,1.288885
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,2.833,2.805,0.631,3,751.23,728,7.496,10000,1420,roughness_dw,9,0.049587,0.053862,0.05194
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,2.833,2.805,0.631,3,751.23,728,7.496,10000,1420,tnr_ecma_perseg,2,4.217743,6.041856,5.129799
[000004]_wav_102070_02994-03994ms.wav,48000,1.0,2.833,2.805,0.631,3,751.23,728,7.496,10000,1420,sii_ansi,1,0.19095,0.19095,0.19095
